feature,importance
deposit_amount,0.3193212
transaction_amount_24hour,0.28644392
payment_CRYPTO,0.063291244
transaction_count_1month,0.043330826
transaction_count_24hour,0.039815903
amount_ratio_month_week,0.038831938
payment_WALLET,0.026135718
transaction_amount_1month,0.02474137
is_cross_border,0.023767345
amount_ratio_week_day,0.022163102
amount_per_tx_24h,0.020012163
payment_CASH,0.015515164
id_type_ID,0.005493404
amount_per_tx_1week,0.0053304355
payment_BANK,0.0050624586
id_type_PASSPORT,0.005044666
transaction_amount_1week,0.004649204
country_SG,0.0038556226
country_VN,0.0031882299
country_KR,0.0030491883
payment_CARD,0.0029907192
transaction_count_1week,0.00288591
stay_qualify_YES,0.002593886
country_ES,0.0024449716
country_PH,0.0024059245
amount_per_tx_1month,0.002168029
country_ID,0.0021605408
id_type_DL,0.0020920404
country_IT,0.002026791
country_CN,0.0019351421
country_GB,0.0019026769
country_JP,0.0018802166
country_FR,0.0017621705
country_TH,0.0015268547
country_IN,0.001441613
country_MY,0.0014385335
country_MX,0.0014297938
country_US,0.0014194284
country_AU,0.0014080781
country_DE,0.0010343537
country_BR,0.0010062401
country_CA,0.0010031286
tx_accel_month,0.0
tx_accel_week,0.0
