feature,importance
deposit_amount,0.33518147
transaction_amount_24hour,0.25467128
payment_CRYPTO,0.05884619
transaction_count_24hour,0.050246105
amount_ratio_week_day,0.04808799
transaction_count_1month,0.036120508
transaction_amount_1month,0.025490362
payment_WALLET,0.024049776
is_cross_border,0.02255572
payment_CASH,0.015022878
amount_per_tx_24h,0.0146007445
amount_ratio_month_week,0.0140397195
transaction_count_1week,0.007886663
transaction_amount_1week,0.007662117
id_type_PASSPORT,0.00613228
payment_BANK,0.0046830806
country_AU,0.0043446384
country_ID,0.004263099
country_CN,0.0041075493
country_KR,0.0037404117
country_PH,0.0037319902
country_SG,0.0036131712
amount_per_tx_1month,0.0035046942
country_ES,0.003348298
amount_per_tx_1week,0.0032683334
country_US,0.0032175775
country_GB,0.003130045
payment_CARD,0.0030751722
country_VN,0.0030131545
stay_qualify_YES,0.002837426
country_IN,0.0027880853
id_type_ID,0.0027399594
id_type_DL,0.002609993
country_IT,0.0025503014
country_JP,0.0024642562
country_FR,0.0020388518
country_MX,0.0020248697
country_BR,0.0019529262
country_DE,0.0018100552
country_MY,0.0016847178
country_TH,0.0016477393
country_CA,0.0012157803
tx_accel_month,0.0
tx_accel_week,0.0
