feature,importance
deposit_amount,0.33329922
transaction_amount_24hour,0.24998528
payment_CRYPTO,0.060893424
transaction_count_24hour,0.05279615
amount_ratio_month_week,0.049257383
transaction_count_1month,0.037825856
transaction_amount_1month,0.033251524
payment_WALLET,0.022888936
is_cross_border,0.022337465
amount_ratio_week_day,0.020893533
amount_per_tx_24h,0.015258896
payment_CASH,0.013023327
country_GB,0.0074508237
id_type_PASSPORT,0.0054189432
payment_BANK,0.004533999
transaction_count_1week,0.004464059
country_SG,0.004085341
amount_per_tx_1week,0.0038367112
amount_per_tx_1month,0.0037709053
transaction_amount_1week,0.0036307366
id_type_ID,0.003583058
country_ES,0.003460474
country_ID,0.003344789
payment_CARD,0.0030155776
country_FR,0.0029863135
stay_qualify_YES,0.0029781717
country_VN,0.002767878
country_CN,0.0026990492
id_type_DL,0.00261781
country_AU,0.0024171295
country_IT,0.0023308396
country_PH,0.0023227243
country_KR,0.0023133396
country_IN,0.0022571187
country_US,0.0020307668
country_JP,0.0020128929
country_TH,0.0015444397
country_MY,0.0015018135
country_CA,0.0014691211
country_MX,0.0013657352
country_DE,0.001120179
country_BR,0.00095833617
tx_accel_month,0.0
tx_accel_week,0.0
