feature,importance
deposit_amount,0.3333801
transaction_amount_24hour,0.23331898
payment_CRYPTO,0.06085875
transaction_count_24hour,0.0556914
transaction_count_1month,0.04380143
amount_ratio_week_day,0.043703806
transaction_amount_1month,0.037020292
amount_ratio_month_week,0.026937645
is_cross_border,0.023245439
payment_WALLET,0.023101795
amount_per_tx_24h,0.015556006
payment_CASH,0.013312967
transaction_count_1week,0.0073915105
id_type_ID,0.0072167614
id_type_PASSPORT,0.006046342
payment_BANK,0.0040859957
country_ES,0.0037348287
transaction_amount_1week,0.0036460331
country_IT,0.0035800873
country_MX,0.003554526
id_type_DL,0.003416279
payment_CARD,0.0032745348
amount_per_tx_1month,0.0032511363
country_VN,0.0031587547
country_MY,0.0030699586
amount_per_tx_1week,0.002712446
stay_qualify_YES,0.0026591371
country_GB,0.0025978158
country_CN,0.0025359488
country_AU,0.0024679133
country_SG,0.0023722453
country_FR,0.0021252697
country_US,0.002072226
country_KR,0.0019373011
country_ID,0.0019187983
country_IN,0.0018598611
country_CA,0.0017686214
country_TH,0.0016841358
country_PH,0.0016822667
country_BR,0.0015629727
country_JP,0.0015394244
country_DE,0.0011482068
tx_accel_month,0.0
tx_accel_week,0.0
