feature,importance
deposit_amount,0.35373855
transaction_amount_24hour,0.2422444
payment_CRYPTO,0.063681774
transaction_count_24hour,0.045631483
transaction_count_1month,0.042922053
amount_ratio_week_day,0.03284503
transaction_amount_1month,0.030466063
payment_WALLET,0.023807561
amount_ratio_month_week,0.02362732
is_cross_border,0.022063363
amount_per_tx_24h,0.019006103
payment_CASH,0.013441488
id_type_ID,0.0069890423
amount_per_tx_1week,0.0056816856
payment_BANK,0.0049736127
transaction_amount_1week,0.003971168
id_type_PASSPORT,0.0036798946
amount_per_tx_1month,0.0036621224
country_FR,0.0034104146
transaction_count_1week,0.0033690284
country_PH,0.0033576696
country_VN,0.0031012266
payment_CARD,0.0029321224
country_IN,0.0028770647
country_IT,0.0027985147
country_KR,0.0026224493
country_BR,0.0025983215
stay_qualify_YES,0.0025818194
country_GB,0.0025495987
country_ID,0.0025447598
country_ES,0.002441167
country_CN,0.0023326192
country_US,0.0022194108
country_SG,0.0021955685
id_type_DL,0.0021890749
country_AU,0.0021351667
country_MY,0.0020671573
country_DE,0.0018701904
country_TH,0.0017098614
country_JP,0.0014958133
country_CA,0.0011418576
country_MX,0.0010264968
tx_accel_month,0.0
tx_accel_week,0.0
