feature,importance
transaction_amount_24hour,0.48818788
deposit_amount,0.085582905
transaction_count_1month,0.047450777
amount_ratio_month_week,0.04616496
payment_CRYPTO,0.04051242
transaction_count_24hour,0.0281795
amount_ratio_week_day,0.021745313
transaction_amount_1month,0.020159455
is_cross_border,0.018523587
payment_WALLET,0.016281327
transaction_amount_1week,0.012769743
amount_per_tx_24h,0.0124570085
payment_CASH,0.010975805
transaction_count_1week,0.009424898
payment_CARD,0.0087125255
stay_qualify_YES,0.0084014805
country_IT,0.008080478
amount_per_tx_1month,0.007787854
country_KR,0.0069936016
payment_BANK,0.0069863256
amount_per_tx_1week,0.006654952
country_VN,0.0058136466
country_CA,0.005810703
country_MY,0.005591116
id_type_DL,0.005318648
id_type_PASSPORT,0.0052508893
country_US,0.0051044095
country_MX,0.004790971
country_TH,0.0047092396
country_ID,0.004693283
country_AU,0.0043259887
country_SG,0.004209175
id_type_ID,0.003952818
country_FR,0.0037834859
country_GB,0.003681772
country_PH,0.0033740988
country_BR,0.003306956
country_CN,0.0032322379
country_IN,0.0031412716
country_DE,0.003096045
country_ES,0.0028163851
country_JP,0.0019640608
tx_accel_month,0.0
tx_accel_week,0.0
