feature,importance
deposit_amount,0.31879938
transaction_amount_24hour,0.28474423
payment_CRYPTO,0.05377373
transaction_count_24hour,0.046965428
transaction_count_1month,0.04020591
amount_ratio_month_week,0.037094373
transaction_amount_1month,0.03700978
payment_WALLET,0.025145201
amount_ratio_week_day,0.022579668
is_cross_border,0.022312855
amount_per_tx_24h,0.015449841
payment_CASH,0.012503021
country_JP,0.007146915
id_type_ID,0.0061107986
country_FR,0.0049494505
payment_BANK,0.0045455764
id_type_PASSPORT,0.004501317
amount_per_tx_1week,0.0040721414
country_GB,0.0033245052
payment_CARD,0.0031238573
transaction_count_1week,0.003074246
amount_per_tx_1month,0.0030671188
transaction_amount_1week,0.0030329488
stay_qualify_YES,0.0029586845
country_VN,0.0028071557
country_IT,0.0027520473
country_SG,0.0026737761
country_PH,0.0026675733
id_type_DL,0.002615701
country_KR,0.00245309
country_AU,0.0022932652
country_MX,0.002019574
country_US,0.0019429913
country_ID,0.0015861249
country_ES,0.0015757947
country_MY,0.0015397888
country_CA,0.0015094397
country_DE,0.0014492808
country_TH,0.0011635358
country_CN,0.0010559026
country_BR,0.0008502514
country_IN,0.00055363355
tx_accel_month,0.0
tx_accel_week,0.0
