feature,importance
deposit_amount,0.33150584
transaction_amount_24hour,0.24841738
payment_CRYPTO,0.057119746
transaction_count_24hour,0.0558252
transaction_count_1month,0.050259717
amount_ratio_month_week,0.04227619
transaction_amount_1month,0.033151325
amount_ratio_week_day,0.022907598
is_cross_border,0.022322623
payment_WALLET,0.02040017
amount_per_tx_24h,0.014584234
payment_CASH,0.013086494
transaction_count_1week,0.006112007
country_SG,0.0046852576
id_type_PASSPORT,0.0046307184
payment_BANK,0.004500914
amount_per_tx_1week,0.0042420835
transaction_amount_1week,0.0038116863
amount_per_tx_1month,0.0033992617
country_AU,0.0033929322
payment_CARD,0.0032187935
country_IN,0.0031811914
country_MX,0.002870451
stay_qualify_YES,0.0028638616
country_IT,0.0028267603
id_type_ID,0.002745583
country_DE,0.002722684
country_ID,0.0025795957
country_ES,0.0025560288
country_VN,0.002553504
country_US,0.00255178
country_TH,0.0024781292
country_MY,0.0024534063
country_CN,0.0024312225
country_BR,0.0023419294
country_KR,0.0022877797
country_FR,0.0021322495
country_GB,0.001888995
country_JP,0.001818275
id_type_DL,0.0017902924
country_CA,0.0016299462
country_PH,0.0014462089
tx_accel_month,0.0
tx_accel_week,0.0
