feature,importance
transaction_amount_24hour,0.5082162
amount_ratio_month_week,0.14427099
deposit_amount,0.10085843
payment_CRYPTO,0.034271844
transaction_count_24hour,0.03236966
transaction_amount_1month,0.026812129
is_cross_border,0.017421
payment_WALLET,0.014096799
amount_per_tx_24h,0.008102215
transaction_count_1month,0.0073086964
country_VN,0.0062482497
country_SG,0.0054607308
amount_ratio_week_day,0.0053378674
country_US,0.005222532
transaction_amount_1week,0.0050271545
payment_BANK,0.0047678566
country_CA,0.00421185
country_IT,0.003999082
country_ES,0.0037326762
id_type_DL,0.003728738
payment_CARD,0.0037220507
country_JP,0.0034421214
id_type_ID,0.003409488
country_FR,0.0033521405
country_MX,0.0032799067
amount_per_tx_1week,0.0032625985
country_AU,0.0032200352
id_type_PASSPORT,0.0031377922
transaction_count_1week,0.0030434774
amount_per_tx_1month,0.002934131
country_DE,0.0027631465
stay_qualify_YES,0.0027029216
country_KR,0.0025854644
country_BR,0.0025353641
country_GB,0.0025221428
payment_CASH,0.0022879192
country_ID,0.0021957199
country_IN,0.002170284
country_PH,0.0020539889
country_TH,0.0015374199
country_MY,0.0012426876
country_CN,0.0011344294
tx_accel_month,0.0
tx_accel_week,0.0
