feature,importance
deposit_amount,0.34427637
transaction_amount_24hour,0.2524183
payment_CRYPTO,0.14590576
transaction_count_24hour,0.110832945
is_cross_border,0.045597825
payment_WALLET,0.043192204
amount_per_tx_24h,0.018959899
payment_BANK,0.0058868695
country_CA,0.0027766582
payment_CASH,0.0022522456
country_AU,0.0020533225
country_US,0.001769275
country_KR,0.0016316145
amount_ratio_week_day,0.0016103842
id_type_PASSPORT,0.0016014476
payment_CARD,0.0013735151
stay_qualify_YES,0.0012815446
country_IT,0.0011687458
country_TH,0.0011134002
transaction_count_1week,0.0011082334
country_MX,0.0010817354
country_IN,0.0009931162
country_ID,0.0009854686
transaction_amount_1month,0.00097554794
country_VN,0.000958231
country_GB,0.00093458185
country_ES,0.0009151425
amount_per_tx_1month,0.00083188736
amount_per_tx_1week,0.00078424346
transaction_count_1month,0.0007790758
country_CN,0.0007475137
transaction_amount_1week,0.0005936918
country_SG,0.000490448
amount_ratio_month_week,0.00040778267
country_FR,0.0003644974
country_PH,0.00035477494
country_DE,0.00030459784
id_type_DL,0.00026704735
id_type_ID,0.00019748956
country_BR,0.00012694045
country_JP,5.700416e-05
country_MY,3.8699254e-05
tx_accel_month,0.0
tx_accel_week,0.0
