feature,importance
deposit_amount,0.33485305
transaction_amount_24hour,0.24933305
payment_CRYPTO,0.058096766
transaction_count_24hour,0.056629255
transaction_count_1month,0.043557655
amount_ratio_month_week,0.041982435
transaction_amount_1month,0.03637434
is_cross_border,0.023675155
payment_WALLET,0.020946987
amount_ratio_week_day,0.01786874
amount_per_tx_24h,0.014145764
payment_CASH,0.012583851
transaction_amount_1week,0.0059709223
id_type_PASSPORT,0.0052672857
country_IT,0.0047835764
transaction_count_1week,0.004416043
country_IN,0.004158064
country_KR,0.0040327553
payment_BANK,0.0039962674
country_ID,0.0035857134
amount_per_tx_1month,0.0034451566
id_type_ID,0.0033051576
country_ES,0.0031615647
payment_CARD,0.0031575093
country_VN,0.002993485
country_PH,0.0029518134
amount_per_tx_1week,0.0029453773
country_FR,0.0028297957
country_DE,0.002804983
country_MY,0.002637527
country_CA,0.002599528
country_MX,0.002235098
id_type_DL,0.0021792338
country_AU,0.0021636998
country_JP,0.002150002
country_GB,0.0020832021
stay_qualify_YES,0.0020711499
country_BR,0.0020440419
country_US,0.0019598708
country_SG,0.0016894927
country_CN,0.0012177802
country_TH,0.0011169285
tx_accel_month,0.0
tx_accel_week,0.0
